:START_ID,:END_ID,:TYPE
EXP_0235,PFAS_053,TARGETS_PFAS
EXP_0236,PFAS_156,TARGETS_PFAS
EXP_0237,PFAS_156,TARGETS_PFAS
EXP_0238,PFAS_156,TARGETS_PFAS
EXP_0239,PFAS_156,TARGETS_PFAS
EXP_0240,PFAS_205,TARGETS_PFAS
EXP_0241,PFAS_084,TARGETS_PFAS
EXP_0242,PFAS_156,TARGETS_PFAS
EXP_0243,PFAS_205,TARGETS_PFAS
EXP_0244,PFAS_084,TARGETS_PFAS
